genre,avg_price
Religious,60.8546
Metal,44.10514018691589
Undefined,55.31212121212123
Pop,114.55808943089423
Dance/Electronic,44.55380165289257
Rock,132.32315094339634
Country,97.66528000000002
Other,28.083333333333332
R&B,78.01857723577237
World,148.79689473684212
Holiday,69.625
Performance Art,23.3
Hip-Hop/Rap,53.69240506329114
Reggae,28.241666666666667
Blues,86.87050632911392
Children's Music,44.166666666666664
Jazz,60.917289719626176
New Age,91.78125
Folk,40.53260869565217
Classical,102.8952
Ballads/Romantic,200.0
Alternative,15.0
