genre,avg_price
Other,27.25
R&B,38.76337398373984
World,51.219315789473676
Holiday,30.6875
Performance Art,20.5
Hip-Hop/Rap,35.167405063291135
Reggae,22.391666666666666
Religious,34.6845
Metal,28.19626168224299
Blues,27.555063291139238
Undefined,35.041515151515185
Pop,54.30987804878042
Dance/Electronic,31.729834710743802
Children's Music,33.166666666666664
Rock,37.20316352201253
Jazz,34.956822429906545
New Age,37.984375
Folk,30.268115942028984
Classical,32.4936
Ballads/Romantic,45.0
Alternative,15.0
Country,36.31914666666666
