model,rmse,mae,r2
linear_regression,114.51455183869355,62.106587013503514,0.4275072390542104
lasso_regression,114.50756209227558,62.05251158662588,0.42757712461960906
elastic_net,114.50842097040935,62.06614602982852,0.4275685375302368
decision_tree,138.49177999646778,51.001390521383456,0.1626700254669109
random_forest,93.69866550199009,42.09258279560648,0.6167206203327475
gbt,117.80481448595062,57.2665708090446,0.3941365921657528
