feature,importance
spotify_popularity,0.342781682465942
state_avg_price,0.17106112636023882
city_avg_price,0.16998395621485768
month,0.1040499319686475
subgenre_avg_price,0.0892837369571672
weekday,0.06328239262804725
genre_avg_price,0.04648633139203114
year,0.013070842013068414
