feature,importance
city_26,3.821752192112552E-7
city_153,3.4802293910266075E-7
city_292,3.465117911022846E-7
subgenre_23,3.368064211147883E-7
city_4,3.0605712263187643E-7
city_193,2.8895528160564793E-7
city_82,2.884437233622203E-7
city_140,2.884212180568901E-7
city_91,2.813758440973162E-7
city_121,2.7748451339747215E-7
city_158,2.6987634620861724E-7
city_176,2.3329973857961438E-7
city_208,2.2189162866863742E-7
city_13,1.9850743634743646E-7
city_51,1.8474882513480133E-7
state_42,1.679015983621937E-7
subgenre_15,1.4057845134026536E-7
state_40,1.3251816087699078E-7
city_76,1.1918778378650465E-7
state_28,1.0876050483053619E-7
city_283,1.0424319391703817E-7
city_199,8.659316194682668E-8
city_157,8.489216063482572E-8
city_64,7.874931126570635E-8
city_247,7.426852861832177E-8
city_214,7.338970355829446E-8
city_181,7.051356838742162E-8
genre_18,6.35166450000706E-8
genre_12,6.183299494626712E-8
city_139,6.017206081838572E-8
city_107,5.331655398186206E-8
city_265,4.538618352397378E-8
subgenre_24,3.927358902809603E-8
city_234,3.3568862290833385E-8
city_219,2.149506531908901E-8
subgenre_22,1.4773877290400284E-8
subgenre_18,1.4727317108955635E-8
city_186,1.4093144779485116E-8
city_257,1.3437736411972268E-8
city_232,9.706507469865581E-9
city_37,3.778112789843978E-9
genre_13,0.0
genre_19,0.0
genre_20,0.0
subgenre_14,0.0
subgenre_20,0.0
subgenre_27,0.0
subgenre_29,0.0
subgenre_31,0.0
subgenre_32,0.0
subgenre_33,0.0
subgenre_34,0.0
subgenre_35,0.0
subgenre_36,0.0
subgenre_37,0.0
subgenre_38,0.0
subgenre_39,0.0
subgenre_41,0.0
subgenre_42,0.0
subgenre_43,0.0
subgenre_44,0.0
subgenre_45,0.0
subgenre_50,0.0
subgenre_51,0.0
state_33,0.0
state_35,0.0
state_36,0.0
state_39,0.0
state_43,0.0
state_44,0.0
city_38,0.0
city_49,0.0
city_54,0.0
city_63,0.0
city_67,0.0
city_69,0.0
city_70,0.0
city_74,0.0
city_78,0.0
city_79,0.0
city_83,0.0
city_93,0.0
city_104,0.0
city_106,0.0
city_110,0.0
city_111,0.0
city_113,0.0
city_115,0.0
city_116,0.0
city_118,0.0
city_120,0.0
city_122,0.0
city_129,0.0
city_130,0.0
city_132,0.0
city_135,0.0
city_136,0.0
city_141,0.0
city_143,0.0
city_148,0.0
city_150,0.0
city_154,0.0
city_159,0.0
city_161,0.0
city_164,0.0
city_167,0.0
city_168,0.0
city_169,0.0
city_171,0.0
city_174,0.0
city_175,0.0
city_177,0.0
city_178,0.0
city_179,0.0
city_180,0.0
city_183,0.0
city_184,0.0
city_185,0.0
city_188,0.0
city_190,0.0
city_192,0.0
city_194,0.0
city_195,0.0
city_197,0.0
city_198,0.0
city_201,0.0
city_203,0.0
city_204,0.0
city_206,0.0
city_207,0.0
city_209,0.0
city_210,0.0
city_211,0.0
city_212,0.0
city_213,0.0
city_220,0.0
city_221,0.0
city_223,0.0
city_226,0.0
city_228,0.0
city_230,0.0
city_231,0.0
city_233,0.0
city_235,0.0
city_237,0.0
city_238,0.0
city_239,0.0
city_240,0.0
city_241,0.0
city_242,0.0
city_243,0.0
city_244,0.0
city_245,0.0
city_246,0.0
city_248,0.0
city_249,0.0
city_251,0.0
city_253,0.0
city_255,0.0
city_256,0.0
city_258,0.0
city_259,0.0
city_260,0.0
city_261,0.0
city_262,0.0
city_263,0.0
city_264,0.0
city_266,0.0
city_267,0.0
city_268,0.0
city_269,0.0
city_271,0.0
city_272,0.0
city_274,0.0
city_275,0.0
city_277,0.0
city_279,0.0
city_280,0.0
city_281,0.0
city_284,0.0
city_287,0.0
city_288,0.0
city_289,0.0
city_290,0.0
city_291,0.0
city_293,0.0
city_294,0.0
city_295,0.0
city_297,0.0
city_298,0.0
