state,avg_price
MN,38.18142857142857
DC,45.2469696969697
MD,44.54492063492063
DE,20.05
MO,32.48848837209302
IL,34.00629213483145
MS,37.20263157894737
SD,32.48
UT,35.712857142857146
HI,43.25
CA,39.278740458015264
CT,47.50833333333333
NC,32.599765625
ME,22.461267605633804
NM,39.9375
IA,34.483333333333334
AR,42.292500000000004
AZ,38.16875
LA,30.906938775510206
NJ,34.67908496732026
WI,36.01923076923077
NY,37.27464552238806
FL,39.55332155477032
KY,33.36816666666667
MI,33.781988636363636
NV,59.874568527918576
ID,39.5
ND,41.583333333333336
WA,46.4264705882353
AL,35.76136363636363
IN,29.943364485981306
TN,39.371875
TX,36.82918032786884
GA,27.838581560283686
CO,43.06818181818182
OK,42.1725
SC,38.9296875
OR,39.875
VA,46.446296296296296
RI,36.833333333333336
NH,49.25
NE,29.17375
OH,26.12090909090909
PA,29.459999999999994
WV,44.916666666666664
MA,28.358598726114646
KS,31.5
