city,avg_price
Johnstown,63.75
pORTLAND,20.0
Dodge City,46.5
Coconut Creek,95.0
Saratoga Springs,503.5
Huntington,61.52777777777778
Las Cruces,112.0
Boston,62.89308943089431
Auburn,89.5
Chula Vista,183.0
Clarkston,150.75
Mountain View,96.0
Ojai,48.0
Foxborough,342.125
Wantagh,140.0
Arlington,1500.0
Simpsonville,500.0
Cuyahoga Falls,228.5
West Palm Beach,99.0
Landover,1495.0
East Rutherford,632.6666666666666
Maryland Heights,228.5
Huber Heights,79.5
Mansfield,99.5
Noblesville,185.16666666666666
Ridgefield,350.0
